16:19:36 [WARN] Thread 2: Fetch fails: crate 6980 imag-view, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6981 libimagdiary, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6982 imag-diary, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6983 imag-store, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6984 imag-bookmark, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6985 imag-documentation, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6986 mongo_oplog, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6987 lexx, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6989 vorbis-shortener, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6990 glsl-optimizer-sys, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6991 glossy, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6992 libretro-sys, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6993 libretro-backend, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6994 micro-kit, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6995 githelper, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6996 fringe-futures, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6997 rustic_hal, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6998 record, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 6999 rust_accountkit, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7000 hocus-pocus, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7001 adventurer, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7002 cartographer, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7003 rust-birkana, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7004 glossy_codegen, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7005 mould-file, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7006 mould-nfd, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7008 hamt-rs, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7009 boondock, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7010 cargo-incremental, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7011 symtern, Download error.
16:19:36 [WARN] Thread 2: Fetch fails: crate 7012 libresample, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7013 rangetree, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7014 dentist, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7015 unicode-casefold, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7016 gql, Download error.
